name	x	y	coordinate_system
E001	44.0	0.0	grid1
E002	40.0	0.0	grid1
E003	36.0	0.0	grid1
E004	32.0	0.0	grid1
E005	28.0	0.0	grid1
E006	24.0	0.0	grid1
E007	20.0	0.0	grid1
E008	16.0	0.0	grid1
E009	12.0	0.0	grid1
E010	8.0	0.0	grid1
E011	4.0	0.0	grid1
E012	0.0	0.0	grid1
E013	0.0	4.0	grid1
E014	4.0	4.0	grid1
E015	8.0	4.0	grid1
E016	12.0	4.0	grid1
E017	16.0	4.0	grid1
E018	20.0	4.0	grid1
E019	24.0	4.0	grid1
E020	28.0	4.0	grid1
E021	32.0	4.0	grid1
E022	36.0	4.0	grid1
E023	40.0	4.0	grid1
E024	44.0	4.0	grid1
E025	48.0	4.0	grid1
E026	48.0	8.0	grid1
E027	44.0	8.0	grid1
E028	40.0	8.0	grid1
E029	36.0	8.0	grid1
E030	32.0	8.0	grid1
E031	28.0	8.0	grid1
E032	24.0	8.0	grid1
E033	20.0	8.0	grid1
E034	16.0	8.0	grid1
E035	12.0	8.0	grid1
E036	8.0	8.0	grid1
E037	4.0	8.0	grid1
E038	0.0	8.0	grid1
E039	0.0	12.0	grid1
E040	4.0	12.0	grid1
E041	8.0	12.0	grid1
E042	12.0	12.0	grid1
E043	16.0	12.0	grid1
E044	20.0	12.0	grid1
E045	24.0	12.0	grid1
E046	28.0	12.0	grid1
E047	32.0	12.0	grid1
E048	36.0	12.0	grid1
E049	40.0	12.0	grid1
E050	44.0	12.0	grid1
E051	48.0	12.0	grid1
E052	48.0	16.0	grid1
E053	44.0	16.0	grid1
E054	40.0	16.0	grid1
E055	36.0	16.0	grid1
E056	32.0	16.0	grid1
E057	28.0	16.0	grid1
E058	24.0	16.0	grid1
E059	20.0	16.0	grid1
E060	16.0	16.0	grid1
E061	12.0	16.0	grid1
E062	8.0	16.0	grid1
E063	4.0	16.0	grid1
E064	0.0	16.0	grid1
E065	44.0	20.0	grid1
E066	40.0	20.0	grid1
E067	36.0	20.0	grid1
E068	32.0	20.0	grid1
E069	28.0	20.0	grid1
E070	24.0	20.0	grid1
E071	20.0	20.0	grid1
E072	16.0	20.0	grid1
E073	12.0	20.0	grid1
E074	8.0	20.0	grid1
E075	4.0	20.0	grid1
E076	0.0	20.0	grid1
E077	0.0	24.0	grid1
E078	4.0	24.0	grid1
E079	8.0	24.0	grid1
E080	12.0	24.0	grid1
E081	16.0	24.0	grid1
E082	20.0	24.0	grid1
E083	24.0	24.0	grid1
E084	28.0	24.0	grid1
E085	32.0	24.0	grid1
